entrez	target gene	target probe	source probe	Score
8807	IL18RAP	207072_at	207072_at	1.000000
8809	IL18R1	206618_at	207072_at	0.658353
3595	IL12RB2	206999_at	207072_at	0.620234
5771	PTPN2	213136_at	207072_at	0.619968
3655	ITGA6	201656_at	207072_at	0.611273
65982	ZSCAN18	218312_s_at	207072_at	0.599444
79895	ATP8B4	220416_at	207072_at	0.587518
6402	SELL	204563_at	207072_at	0.579681
3656	IRAK2	231779_at	207072_at	0.578370
1052	CEBPD	203973_s_at	207072_at	0.554885
51735	RAPGEF6	219112_at	207072_at	0.543127
5045	FURIN	201945_at	207072_at	0.540938
6304	SATB1	203408_s_at	207072_at	0.540162
1326	MAP3K8	235421_at	207072_at	0.534896
84707	BEX2	224367_at	207072_at	0.530658
149233	IL23R	1552912_a_at	207072_at	0.530630
23708	GSPT2	205541_s_at	207072_at	0.527816
5921	RASA1	210621_s_at	207072_at	0.521401
3718	JAK3	227677_at	207072_at	0.519918
1230	CCR1	205098_at	207072_at	0.517541
80162	ATHL1	219359_at	207072_at	0.517472
10663	CXCR6	206974_at	207072_at	0.511444
7188	TRAF5	204352_at	207072_at	0.510507
3720	JARID2	203298_s_at	207072_at	0.498412
3398	ID2	201565_s_at	207072_at	0.497803
57713	SFMBT2	227210_at	207072_at	0.494640
9685	CLINT1	201769_at	207072_at	0.486996
29799	YPEL1	228296_at	207072_at	0.485516
3091	HIF1A	200989_at	207072_at	0.484168
23092	ARHGAP26	205068_s_at	207072_at	0.483547
100534599	ISY1-RAB43	225632_s_at	207072_at	0.482524
339122	RAB43	225632_s_at	207072_at	0.482524
6197	RPS6KA3	203843_at	207072_at	0.480954
23514	SPIDR	228325_at	207072_at	0.477312
80063	ATF7IP2	219870_at	207072_at	0.475473
11276	SYNRG	232981_s_at	207072_at	0.474117
4851	NOTCH1	218902_at	207072_at	0.467824
4684	NCAM1	227394_at	207072_at	0.465225
93594	TBC1D31	214061_at	207072_at	0.463771
1794	DOCK2	213160_at	207072_at	0.462424
868	CBLB	209682_at	207072_at	0.459966
26034	IPCEF1	214735_at	207072_at	0.459859
3560	IL2RB	205291_at	207072_at	0.453927
57674	RNF213	225929_s_at	207072_at	0.452845
166647	ADGRA3	210473_s_at	207072_at	0.451023
84791	LINC00467	224443_at	207072_at	0.448352
9695	EDEM1	203279_at	207072_at	0.447568
64418	TMEM168	218962_s_at	207072_at	0.446285
147687	ZNF417	1558251_a_at	207072_at	0.445135
84914	ZNF587	1558251_a_at	207072_at	0.445135
10206	TRIM13	203659_s_at	207072_at	0.444619
2242	FES	205418_at	207072_at	0.444064
84067	FAM160A2	223637_s_at	207072_at	0.443468
2802	GOLGA3	202106_at	207072_at	0.442299
4084	MXD1	226275_at	207072_at	0.441714
101929668		240054_at	207072_at	0.441646
79744	ZNF419	219826_at	207072_at	0.441139
10863	ADAM28	205997_at	207072_at	0.440872
51542	VPS54	233656_s_at	207072_at	0.439318
8295	TRRAP	202642_s_at	207072_at	0.438110
23332	CLASP1	212752_at	207072_at	0.437965
64388	GREM2	240509_s_at	207072_at	0.437957
10765	KDM5B	201549_x_at	207072_at	0.435416
28951	TRIB2	202478_at	207072_at	0.433978
3003	GZMK	206666_at	207072_at	0.432524
8509	NDST2	203916_at	207072_at	0.428551
55304	SPTLC3	220456_at	207072_at	0.424771
2643	GCH1	204224_s_at	207072_at	0.423271
26130	GAPVD1	212802_s_at	207072_at	0.422532
92140	MTDH	227277_at	207072_at	0.422349
6641	SNTB1	214708_at	207072_at	0.422257
9710	KIAA0355	203288_at	207072_at	0.421182
23240	KIAA0922	209760_at	207072_at	0.421113
55768	NGLY1	220742_s_at	207072_at	0.420432
102724587	LOC102724587	240747_at	207072_at	0.419979
1317	SLC31A1	235013_at	207072_at	0.419728
92595	ZNF764	57516_at	207072_at	0.419413
100996668		212764_at	207072_at	0.419202
6935	ZEB1	212764_at	207072_at	0.419202
285513	GPRIN3	232687_at	207072_at	0.418251
23041	MON2	212754_s_at	207072_at	0.417337
100507113	ZNF638-IT1	213775_x_at	207072_at	0.417313
27332	ZNF638	213775_x_at	207072_at	0.417313
8473	OGT	212307_s_at	207072_at	0.417198
196264	MPZL3	227747_at	207072_at	0.416989
23236	PLCB1	213222_at	207072_at	0.416672
55000	TUG1	222244_s_at	207072_at	0.416668
3708	ITPR1	203710_at	207072_at	0.415423
83641	FAM107B	223058_at	207072_at	0.413356
2634	GBP2	202748_at	207072_at	0.412207
55096	EBLN2	219906_at	207072_at	0.412116
55784	MCTP2	229021_at	207072_at	0.411559
64859	NABP1	233085_s_at	207072_at	0.411411
474344	GIMAP6	219777_at	207072_at	0.410618
151556	GPR155	231166_at	207072_at	0.408654
9583	ENTPD4	204076_at	207072_at	0.406813
7536	SF1	208313_s_at	207072_at	0.406385
6925	TCF4	213891_s_at	207072_at	0.405406
54843	SYTL2	225496_s_at	207072_at	0.404944
26502	NARF	219862_s_at	207072_at	0.404475
10075	HUWE1	208598_s_at	207072_at	0.403479
7694	ZNF135	206142_at	207072_at	0.403420
162972	ZNF550	228099_at	207072_at	0.403237
7799	PRDM2	203057_s_at	207072_at	0.402941
90411	MCFD2	212245_at	207072_at	0.402793
100507419	MMP25-AS1	239180_at	207072_at	0.402671
56951	C5orf15	203024_s_at	207072_at	0.402515
57186	RALGAPA2	232500_at	207072_at	0.401913
283551	LINC01588	237460_x_at	207072_at	0.401721
11040	PIM2	204269_at	207072_at	0.401589
55841	WWC3	219520_s_at	207072_at	0.401531
5165	PDK3	221957_at	207072_at	0.401525
10342	TFG	239385_at	207072_at	0.401436
2040	STOM	201060_x_at	207072_at	0.401241
79871	RPAP2	222893_s_at	207072_at	0.401001
7072	TIA1	201446_s_at	207072_at	0.400853
131583	FAM43A	227410_at	207072_at	0.397620
8847	DLEU2	242854_x_at	207072_at	0.397597
8615	USO1	201832_s_at	207072_at	0.397071
284391	ZNF844	228346_at	207072_at	0.396909
55500	ETNK1	219017_at	207072_at	0.396237
5930	RBBP6	212781_at	207072_at	0.395776
22900	CARD8	204950_at	207072_at	0.395450
79668	PARP8	219033_at	207072_at	0.394978
10336	PCGF3	212753_at	207072_at	0.394935
55236	UBA6	222601_at	207072_at	0.394933
9021	SOCS3	227697_at	207072_at	0.394927
23185	LARP4B	208953_at	207072_at	0.394170
6375	XCL1	214567_s_at	207072_at	0.394168
6846	XCL2	214567_s_at	207072_at	0.394168
5066	PAM	212958_x_at	207072_at	0.393378
55900	ZNF302	218490_s_at	207072_at	0.393243
3980	LIG3	1554597_at	207072_at	0.391370
55607	PPP1R9A	228494_at	207072_at	0.391223
4152	MBD1	203353_s_at	207072_at	0.390372
27300	ZNF544	218735_s_at	207072_at	0.389926
356	FASLG	210865_at	207072_at	0.389453
102465801	MIR7703	201762_s_at	207072_at	0.388397
5721	PSME2	201762_s_at	207072_at	0.388397
100532724	NPHP3-ACAD11	225573_at	207072_at	0.386661
27031	NPHP3	225573_at	207072_at	0.386661
84129	ACAD11	225573_at	207072_at	0.386661
7766	ZNF223	207128_s_at	207072_at	0.386621
8776	MTMR1	216095_x_at	207072_at	0.385576
100529257	SYNJ2BP-COX16	227274_at	207072_at	0.385504
55333	SYNJ2BP	227274_at	207072_at	0.385504
9931	HELZ	203674_at	207072_at	0.384717
100190939	TPT1-AS1	227709_at	207072_at	0.384349
3659	IRF1	238725_at	207072_at	0.383330
84296	GINS4	240778_at	207072_at	0.383194
641	BLM	205733_at	207072_at	0.382603
8292	COLQ	206073_at	207072_at	0.382154
5108	PCM1	214118_x_at	207072_at	0.382001
80223	RAB11FIP1	219681_s_at	207072_at	0.381358
26228	STAP1	220059_at	207072_at	0.381328
286451	YIPF6	212341_at	207072_at	0.381060
494470	RNF165	1557545_s_at	207072_at	0.380699
56650	CLDND1	1554149_at	207072_at	0.380544
84674	CARD6	224414_s_at	207072_at	0.380316
9666	DZIP3	213186_at	207072_at	0.379877
26524	LATS2	227013_at	207072_at	0.379612
100129482	ZNF37BP	215358_x_at	207072_at	0.378707
147660	ZNF578	1562244_at	207072_at	0.378583
22834	ZNF652	225266_at	207072_at	0.377131
3516	RBPJ	211974_x_at	207072_at	0.377059
3725	JUN	201466_s_at	207072_at	0.376702
5142	PDE4B	203708_at	207072_at	0.376228
27436	EML4	220386_s_at	207072_at	0.375952
93349	SP140L	214791_at	207072_at	0.375575
4054	LTBP3	219922_s_at	207072_at	0.375375
56983	POGLUT1	222681_at	207072_at	0.375198
23169	SLC35D1	209711_at	207072_at	0.374644
283587	LINC01146	1559363_at	207072_at	0.374472
27197	GPR82	244434_at	207072_at	0.374213
730051	ZNF814	241912_at	207072_at	0.374188
84243	ZDHHC18	231900_at	207072_at	0.373920
90594	ZNF439	236562_at	207072_at	0.373720
9451	EIF2AK3	218696_at	207072_at	0.373675
2140	EYA3	226170_at	207072_at	0.373368
58508	KMT2C	222415_at	207072_at	0.372910
101927117	PLCG1-AS1	1558354_s_at	207072_at	0.372662
11057	ABHD2	221815_at	207072_at	0.372350
84099	ID2B	213931_at	207072_at	0.372309
147686	ZNF418	243439_at	207072_at	0.372148
23512	SUZ12	212287_at	207072_at	0.371779
8027	STAM	203544_s_at	207072_at	0.371764
3480	IGF1R	225330_at	207072_at	0.371457
3428	IFI16	208966_x_at	207072_at	0.371235
6772	STAT1	200887_s_at	207072_at	0.370916
10618	TGOLN2	1554608_at	207072_at	0.370761
9791	PTDSS1	201433_s_at	207072_at	0.370031
27148	STK36	231806_s_at	207072_at	0.369827
342909	ZNF284	239462_at	207072_at	0.368404
114804	RNF157	226433_at	207072_at	0.368230
100996517	LOC100996517	209207_s_at	207072_at	0.367570
102724364	LOC102724364	209207_s_at	207072_at	0.367570
9554	SEC22B	209207_s_at	207072_at	0.367570
25816	TNFAIP8	208296_x_at	207072_at	0.367483
10270	AKAP8	203847_s_at	207072_at	0.367476
1196	CLK2	203229_s_at	207072_at	0.367381
388692	LOC388692	232346_at	207072_at	0.367061
22908	SACM1L	202797_at	207072_at	0.367042
23408	SIRT5	221010_s_at	207072_at	0.366702
2058	EPRS	200841_s_at	207072_at	0.366689
1300	COL10A1	205941_s_at	207072_at	0.366654
7798	LUZP1	221832_s_at	207072_at	0.366633
23348	DOCK9	212538_at	207072_at	0.366602
3092	HIP1	226364_at	207072_at	0.365960
5286	PIK3C2A	213070_at	207072_at	0.365852
7494	XBP1	200670_at	207072_at	0.365545
9063	PIAS2	238700_at	207072_at	0.365519
57823	SLAMF7	222838_at	207072_at	0.365457
9173	IL1RL1	242809_at	207072_at	0.364474
100288490	LOC100288490	1556725_a_at	207072_at	0.363902
115361	GBP4	235574_at	207072_at	0.363704
101060386	LOC101060386	237464_at	207072_at	0.363556
23049	SMG1	237464_at	207072_at	0.363556
552900	BOLA2	237464_at	207072_at	0.363556
11238	CA5B	238435_at	207072_at	0.363518
340591	CA5BP1	238435_at	207072_at	0.363518
10745	PHTF1	210191_s_at	207072_at	0.363232
9320	TRIP12	244659_at	207072_at	0.362938
84969	TOX2	228737_at	207072_at	0.362897
728613	LOC728613	229283_at	207072_at	0.362702
1880	GPR183	205419_at	207072_at	0.362327
8802	SUCLG1	217874_at	207072_at	0.362244
65123	INTS3	202809_s_at	207072_at	0.361363
100506540	SPTY2D1-AS1	1558262_at	207072_at	0.361017
10644	IGF2BP2	218847_at	207072_at	0.361004
23086	EXPH5	213929_at	207072_at	0.360932
2120	ETV6	235056_at	207072_at	0.360429
79868	ALG13	205583_s_at	207072_at	0.360381
1315	COPB1	201358_s_at	207072_at	0.360027
9147	NEMF	1558675_s_at	207072_at	0.359823
8972	MGAM	206522_at	207072_at	0.359803
55763	EXOC1	222127_s_at	207072_at	0.358521
5922	RASA2	230669_at	207072_at	0.357937
80154	GOLGA2P10	223326_s_at	207072_at	0.357776
100527949	GIMAP1-GIMAP5	215352_at	207072_at	0.357441
55340	GIMAP5	215352_at	207072_at	0.357441
5467	PPARD	242218_at	207072_at	0.357223
23064	SETX	201965_s_at	207072_at	0.356888
55337	C19orf66	218429_s_at	207072_at	0.356881
7403	KDM6A	238220_at	207072_at	0.356568
6095	RORA	226682_at	207072_at	0.356371
9252	RPS6KA5	204633_s_at	207072_at	0.356123
4249	MGAT5	212098_at	207072_at	0.355985
101752399	STAG3L5P-PVRIG2P-PILRB	225321_s_at	207072_at	0.355968
102466747	MIR6840	225321_s_at	207072_at	0.355968
29990	PILRB	225321_s_at	207072_at	0.355968
57559	STAMBPL1	227607_at	207072_at	0.355724
115362	GBP5	229625_at	207072_at	0.355699
331	XIAP	225858_s_at	207072_at	0.355399
23765	IL17RA	229101_at	207072_at	0.355007
8792	TNFRSF11A	207037_at	207072_at	0.354724
79726	WDR59	218505_at	207072_at	0.354631
26098	EDRF1	213410_at	207072_at	0.354265
387893	SETD8	228443_s_at	207072_at	0.354123
57646	USP28	1552678_a_at	207072_at	0.353545
8881	CDC16	209658_at	207072_at	0.352348
7071	KLF10	202393_s_at	207072_at	0.352066
693216	MIR631	219396_s_at	207072_at	0.351751
79661	NEIL1	219396_s_at	207072_at	0.351751
8361	HIST1H4F	208026_at	207072_at	0.351652
8369	HIST1H4G	208026_at	207072_at	0.351652
7745	ZKSCAN8	226102_at	207072_at	0.351565
55667	DENND4C	226867_at	207072_at	0.351528
8320	EOMES	231776_at	207072_at	0.351519
51361	HOOK1	225792_at	207072_at	0.351255
79646	PANK3	221751_at	207072_at	0.350998
55824	PAG1	225626_at	207072_at	0.350896
9673	SLC25A44	32091_at	207072_at	0.350212
27099	SND1-IT1	210109_at	207072_at	0.349950
5026	P2RX5	210448_s_at	207072_at	0.349805
10154	PLXNC1	213241_at	207072_at	0.349700
4213	MEIS3P1	214077_x_at	207072_at	0.349270
3820	KLRB1	214470_at	207072_at	0.349185
125488	TTC39C	238480_at	207072_at	0.349141
9175	MAP3K13	226190_at	207072_at	0.349094
342926	ZNF677	228974_at	207072_at	0.348771
55132	LARP1B	233764_s_at	207072_at	0.348664
55748	CNDP2	217752_s_at	207072_at	0.348165
100509445		228245_s_at	207072_at	0.348136
144203	OVOS2	228245_s_at	207072_at	0.348136
408186	OVOS	228245_s_at	207072_at	0.348136
728715	LOC728715	228245_s_at	207072_at	0.348136
1241	LTB4R	216388_s_at	207072_at	0.347993
3633	INPP5B	213643_s_at	207072_at	0.347456
90634	N4BP2L1	213375_s_at	207072_at	0.347387
100874362	HOXB-AS1	237189_at	207072_at	0.346937
29123	ANKRD11	238538_at	207072_at	0.346851
9437	NCR1	217088_s_at	207072_at	0.345939
85464	SSH2	226080_at	207072_at	0.345572
55760	DHX32	218198_at	207072_at	0.345152
51654	CDK5RAP1	218315_s_at	207072_at	0.344140
23190	UBXN4	212008_at	207072_at	0.343743
26118	WSB1	213406_at	207072_at	0.343723
58526	MID1IP1	218251_at	207072_at	0.343278
92335	STRADA	52169_at	207072_at	0.343051
441155	LOC441155	205788_s_at	207072_at	0.342723
9877	ZC3H11A	205788_s_at	207072_at	0.342723
29930	PCDHB1	221303_at	207072_at	0.342358
83666	PARP9	223220_s_at	207072_at	0.342352
406	ARNTL	209824_s_at	207072_at	0.342177
644852	LOC644852	1554307_at	207072_at	0.341650
55893	ZNF395	218149_s_at	207072_at	0.341552
56947	MFF	223354_x_at	207072_at	0.341529
11083	DIDO1	213213_at	207072_at	0.340867
23175	LPIN1	212274_at	207072_at	0.340737
157378	TMEM65	238045_at	207072_at	0.340434
8935	SKAP2	225639_at	207072_at	0.339960
3320	HSP90AA1	211968_s_at	207072_at	0.339662
9643	MORF4L2	201994_at	207072_at	0.339539
9422	ZNF264	230063_at	207072_at	0.339397
140460	ASB7	226513_at	207072_at	0.339377
7337	UBE3A	213291_s_at	207072_at	0.339290
91373	UAP1L1	214755_at	207072_at	0.339230
9354	UBE4A	202038_at	207072_at	0.339132
100533955	SENP3-EIF4A1	211787_s_at	207072_at	0.339131
101928634		211787_s_at	207072_at	0.339131
1973	EIF4A1	211787_s_at	207072_at	0.339131
26781	SNORA67	211787_s_at	207072_at	0.339131
652965	SNORA48	211787_s_at	207072_at	0.339131
652966	SNORD10	211787_s_at	207072_at	0.339131
153830	RNF145	226077_at	207072_at	0.338726
9079	LDB2	206481_s_at	207072_at	0.338024
84206	MEX3B	223627_at	207072_at	0.337669
5924	RASGRF2	228109_at	207072_at	0.337594
196441	ZFC3H1	213065_at	207072_at	0.336992
2529	FUT7	210506_at	207072_at	0.336912
1788	DNMT3A	222640_at	207072_at	0.336814
2581	GALC	204417_at	207072_at	0.336591
4068	SH2D1A	210116_at	207072_at	0.336463
170575	GIMAP1	1552316_a_at	207072_at	0.336272
164	AP1G1	225754_at	207072_at	0.335664
8749	ADAM18	207597_at	207072_at	0.335577
6850	SYK	244023_at	207072_at	0.335154
83440	ADPGK	220980_s_at	207072_at	0.335128
5781	PTPN11	212610_at	207072_at	0.335029
65095	KRI1	227587_at	207072_at	0.334776
399671	HEATR4	1560727_at	207072_at	0.334733
64431	ACTR6	218395_at	207072_at	0.334208
7710	ZNF154	217242_at	207072_at	0.334202
9331	B4GALT6	235333_at	207072_at	0.333598
54480	CHPF2	55093_at	207072_at	0.333588
55758	RCOR3	241433_at	207072_at	0.333500
208	AKT2	203809_s_at	207072_at	0.333214
92483	LDHAL6B	210712_at	207072_at	0.333028
27044	SND1	201622_at	207072_at	0.332080
9693	RAPGEF2	203096_s_at	207072_at	0.331995
81873	ARPC5L	220966_x_at	207072_at	0.331832
3431	SP110	208012_x_at	207072_at	0.331769
901	CCNG2	202769_at	207072_at	0.331485
90592	ZNF700	223590_at	207072_at	0.331177
90673	PPP1R3E	227409_at	207072_at	0.331121
9500	MAGED1	209014_at	207072_at	0.330949
163590	TOR1AIP2	214801_at	207072_at	0.330847
51616	TAF9B	228483_s_at	207072_at	0.330844
23483	TGDS	208249_s_at	207072_at	0.330833
6667	SP1	224754_at	207072_at	0.330788
10208	USPL1	204190_at	207072_at	0.330221
23139	MAST2	211593_s_at	207072_at	0.330086
26037	SIPA1L1	237032_x_at	207072_at	0.330005
7402	UTRN	213022_s_at	207072_at	0.329941
10983	CCNI	208656_s_at	207072_at	0.329654
407004	MIR22	214696_at	207072_at	0.328996
84981	MIR22HG	214696_at	207072_at	0.328996
55095	SAMD4B	229871_at	207072_at	0.328935
84460	ZMAT1	226344_at	207072_at	0.328685
79609	VCPKMT	218940_at	207072_at	0.328505
2776	GNAQ	224862_at	207072_at	0.328137
51729	WBP11	217822_at	207072_at	0.328042
8780	RIOK3	202130_at	207072_at	0.327897
5873	RAB27A	210951_x_at	207072_at	0.327775
1785	DNM2	202253_s_at	207072_at	0.327615
10299	MARCH6	201736_s_at	207072_at	0.327419
3687	ITGAX	210184_at	207072_at	0.327315
10142	AKAP9	210962_s_at	207072_at	0.327284
10241	CALCOCO2	235076_at	207072_at	0.326942
5863	RGL2	209110_s_at	207072_at	0.326865
8445	DYRK2	202968_s_at	207072_at	0.326855
6655	SOS2	217576_x_at	207072_at	0.326785
57343	ZNF304	207753_at	207072_at	0.326743
57478	USP31	1558117_s_at	207072_at	0.326572
6782	HSPA13	202557_at	207072_at	0.326553
9885	OSBPL2	209221_s_at	207072_at	0.326548
283991	UBALD2	224783_at	207072_at	0.326495
64432	MRPS25	224873_s_at	207072_at	0.326443
9990	SLC12A6	226741_at	207072_at	0.326373
6868	ADAM17	213532_at	207072_at	0.325616
